snapped_at,market_cap,total_volume
1.36719E+12,1661441770,0
1.36728E+12,1592765051,0
1.36737E+12,1378705103,0
1.36745E+12,1220763415,0
1.36754E+12,1075224202,0
1.36763E+12,1316363524,0
1.36771E+12,1382120536,0
1.3678E+12,1393824485,0
1.36788E+12,1254637674,0
1.36797E+12,1330986953,0
1.36806E+12,1334911702,0
1.36814E+12,1395116543,0
1.36823E+12,1332012007,0
1.36832E+12,1350327204,0
1.3684E+12,1377789386,0
1.36849E+12,1345650748,0
1.36858E+12,1338823587,0
1.36866E+12,1353313527,0
1.36875E+12,1443958629,0
1.36884E+12,1455779820,0
1.36892E+12,1417905572,0
1.36901E+12,1441122694,0
1.36909E+12,1443607754,0
1.36918E+12,1445715359,0
1.36927E+12,1478020525,0
1.36935E+12,1545112414,0
1.36944E+12,1533661573,0
1.36953E+12,1580501022,0
1.36961E+12,1515097522,0
1.3697E+12,1517015783,0
1.36979E+12,1494663310,0
1.36987E+12,1496904749,0
1.36996E+12,1501246629,0
1.37004E+12,1513483050,0
1.37013E+12,1425253662,0
1.37022E+12,1421300914,0
1.37039E+12,1428937992,0
1.37048E+12,1431055975,0
1.37056E+12,1399369412,0
1.37065E+12,1295759699,0
1.37074E+12,1276440352,0
1.37082E+12,1175742721,0
1.37091E+12,1249480387,0
1.371E+12,1281020351,0
1.37108E+12,1274880850,0
1.37117E+12,1209926438,0
1.37125E+12,1157471483,0
1.37134E+12,1175106991,0
1.37143E+12,1181799762,0
1.37151E+12,1203069155,0
1.3716E+12,1255047714,0
1.37169E+12,1272106014,0
1.37177E+12,1307192102,0
1.37186E+12,1295399444,0
1.37195E+12,1280858025,0
1.37203E+12,1288678379,0
1.37212E+12,1223713187,0
1.3722E+12,1236186084,0
1.37229E+12,1235489718,0
1.37238E+12,1194934899,0
1.37246E+12,1121179078,0
1.37255E+12,1144211142,0
1.37264E+12,1173606025,0
1.37272E+12,1081520862,0
1.37281E+12,1094150829,0
1.3729E+12,950276548,0
1.37298E+12,952140445,0
1.37307E+12,826561927,0
1.37316E+12,829092669,0
1.37324E+12,942313402,0
1.37333E+12,928926091,0
1.37341E+12,935842308,0
1.3735E+12,1040602951,0
1.37359E+12,1134446242,0
1.37367E+12,1066507120,0
1.37376E+12,1155324187,0
1.37385E+12,1139102572,0
1.37393E+12,1179325520,0
1.37402E+12,1202570259,0
1.37411E+12,1188974868,0
1.37419E+12,1081670768,0
1.37428E+12,1116264659,0
1.37436E+12,1088742655,0
1.37445E+12,1102248729,0
